IO구분,어드레스,BIT,신호명칭,구분
INPUT,800010,0,승강대신호1,사용자
INPUT,800010,1,승강대신호2,사용자
INPUT,800010,2,승강대신호3,사용자
INPUT,800010,3,승강대신호4,사용자
INPUT,800010,4,승강대신호5,사용자
INPUT,800010,5,승강대신호6,사용자
INPUT,800010,6,승강대신호7,사용자
INPUT,800010,7,승강대신호8,사용자
INPUT,800010,8,승강부원점,사용자
INPUT,800010,9,느슨해짐 검출,사용자
INPUT,800010,10,승강 엔코더,
INPUT,800010,11,인버터 이상,
INPUT,800010,12,인버터 운전중,
INPUT,800010,13,인버터 주파수 검출,
INPUT,800010,14,트롤리제어(인터록),사용자
INPUT,800010,15,충돌검출(유지),사용자
INPUT,800012,0,극한검출(릴레이접점),사용자
INPUT,800012,1,구동금지,사용자
INPUT,800012,2,주행모터 브레이크 개방 스위치,사용자
INPUT,800012,3,승강모터 브레이크 개방 스위치,사용자
INPUT,800012,4,주행모터 써멀 트립,
INPUT,800012,5,이재모터 전원 이상,
INPUT,800012,6,이재모터1 과부하,
INPUT,800012,7,예비(미사용),
INPUT,800012,8,예비(미사용),
INPUT,800012,9,,
INPUT,800012,10,,
INPUT,800012,11,,
INPUT,800012,12,,
INPUT,800012,13,,
INPUT,800012,14,,
INPUT,800012,15,,
INPUT,800014,0,이재인터록1,
INPUT,800014,1,이재인터록2,
INPUT,800014,2,이재인터록3,
INPUT,800014,3,이재인터록4,
INPUT,800014,4,이재인터록5,
INPUT,800014,5,이재인터록6,
INPUT,800014,6,이재인터록7,
INPUT,800014,7,이재인터록8,
INPUT,800014,8,정지1,사용자
INPUT,800014,9,정지2,사용자
INPUT,800014,10,정지패리티,사용자
INPUT,800014,11,충돌방지전 감속,사용자
INPUT,800014,12,충돌방지전 정지,사용자
INPUT,800014,13,충돌방지후 감속,사용자
INPUT,800014,14,충돌방지후 정지,사용자
INPUT,800014,15,충돌검출(센서입력),사용자
INPUT,800016,0,교신점확인,사용자
INPUT,800016,1,인터록확인,사용자
INPUT,800016,2,종단확인,사용자
INPUT,800016,3,극한검출(센서입력),사용자
INPUT,800016,4,분기확인,사용자
INPUT,800016,5,분기대차발진가,사용자
INPUT,800016,6,예비1 (분기-8bit),
INPUT,800016,7,예비2 (분기-8bit),
INPUT,800016,8,행선1,사용자
INPUT,800016,9,행선2,사용자
INPUT,800016,10,행선3,사용자
INPUT,800016,11,행선4,사용자
INPUT,800016,12,행선5,사용자
INPUT,800016,13,행선패리티,사용자
INPUT,800016,14,행선스트로브,사용자
INPUT,800016,15,예비1 (ROP),
OUTPUT,800010,0,인버터 정전,
OUTPUT,800010,1,인버터 역전,
OUTPUT,800010,2,인버터 출력정지,
OUTPUT,800010,3,인버터 제2기능선택,
OUTPUT,800010,4,인버터 리셋,
OUTPUT,800010,5,예비1 (인버터),
OUTPUT,800010,6,주행 구동,
OUTPUT,800010,7,주행 브레이크 해제,
OUTPUT,800010,8,승강 구동,
OUTPUT,800010,9,승강 브레이크 해제,
OUTPUT,800010,10,이재모터1 정전,
OUTPUT,800010,11,이재모터1 역전,
OUTPUT,800010,12,이재모터1 브레이크해제,
OUTPUT,800010,13,강제 해제,
OUTPUT,800010,14,,
OUTPUT,800010,15,,
OUTPUT,800014,0,이재 인터록 1,사용자
OUTPUT,800014,1,이재 인터록 2,사용자
OUTPUT,800014,2,이재 인터록 3,사용자
OUTPUT,800014,3,이재 인터록 4,사용자
OUTPUT,800014,4,이재 인터록 5,사용자
OUTPUT,800014,5,이재 인터록 6,사용자
OUTPUT,800014,6,이재 인터록 7,사용자
OUTPUT,800014,7,이재 인터록 8,사용자
OUTPUT,800014,8,데이터 요구,사용자
OUTPUT,800014,9,수신완료,사용자
OUTPUT,800014,10,전송정지1,사용자
OUTPUT,800014,11,분기 인터록1,사용자
OUTPUT,800014,12,분기 인터록2,사용자
OUTPUT,800014,13,분기 인터록3,사용자
OUTPUT,800014,14,분기 인터록4,사용자
OUTPUT,800014,15,전송정지2,사용자
OUTPUT,800018,8,이재모터2 정전,
OUTPUT,800018,9,이재모터2 역전,
OUTPUT,800018,10,이재모터2 브레이크 해제,
OUTPUT,800018,11,,
OUTPUT,800018,12,,
OUTPUT,800018,13,,
OUTPUT,800018,14,,
